nm_habs,cod_an
497,id_6712
420,id_7879
1272,id_0572
1836,id_6361
2789,id_2773
2526,id_0394
174,id_4980
2065,id_1959
40,id_6730
113,id_7756
15186,id_7333
228,id_6245
178,id_2635
359,id_2657
29682,id_3819
545,id_0806
51,id_1739
1695,id_7828
332,id_1353
553,id_3079
68,id_5335
5859,id_6323
54,id_2428
11189,id_3782
729,id_5674
89,id_6601
4854,id_3455
104,id_0999
5703,id_2726
331,id_0537
850,id_7679
158,id_6474
7906,id_2393
14331,id_3241
45,id_3016
458,id_6332
510,id_7179
928,id_5955
530,id_0272
433,id_6567
495,id_4849
268,id_4094
298,id_1323
300,id_4020
28232,id_1113
20098,id_1122
32114,id_3154
3561,id_5246
98,id_0991
1165,id_0490
111,id_5561
578,id_6105
1598,id_2510
116,id_1395
1182,id_2459
8970,id_6602
480,id_6772
18854,id_3624
1581,id_7238
137,id_7557
4113,id_4569
31,id_7001
1770,id_5205
111,id_1171
44,id_1705
102,id_2424
1307,id_2898
868,id_3509
690,id_0759
232,id_0524
56,id_5687
101,id_4810
4237,id_5603
456,id_7794
2958,id_2178
165,id_7920
228,id_1397
14188,id_6228
1538,id_1632
3284,id_1328
146,id_3198
99,id_5268
1168,id_5043
184,id_8020
124,id_5518
33,id_3872
171,id_1436
217,id_5734
356,id_1267
7326,id_3787
248,id_3475
9150,id_1763
895,id_7030
427,id_3018
165,id_5045
5107,id_3387
5930,id_1029
297,id_2963
844,id_7834
219,id_2722
299,id_4382
63,id_4561
848,id_4052
126,id_1797
207,id_3578
1645,id_7243
573,id_1363
60,id_6973
413,id_2809
72117,id_3428
3228,id_1174
4852,id_7516
518,id_2800
1589,id_5439
845,id_0948
78,id_5897
367,id_3762
333,id_5993
3964,id_7914
1047,id_7660
660,id_0862
3220,id_0980
313,id_0990
18801,id_5319
1780,id_6635
244,id_0399
577,id_1372
292,id_5225
8013,id_0640
7447,id_0652
481,id_0039
25,id_1252
3223,id_1818
389,id_2501
1745,id_4412
202,id_2014
1684,id_2534
1242,id_2686
16173,id_0112
2093,id_6659
121,id_0644
39,id_1475
181,id_5070
135,id_2474
988,id_3416
158,id_4092
1237,id_1966
2475,id_0783
76,id_1946
296,id_5151
1432,id_6806
168,id_4638
1007,id_1173
438,id_7225
112207,id_0802
5357,id_3131
6027,id_3598
235,id_2494
74,id_6528
163,id_1977
60,id_5511
519,id_5964
1055,id_3696
6127,id_1068
544,id_2025
33,id_6313
79,id_0250
509,id_2597
127,id_0612
309,id_3496
194,id_3965
425,id_6116
21924,id_2437
2681,id_3901
158,id_2158
2081,id_5925
308,id_2614
214,id_6572
619,id_4613
958,id_4890
72,id_5344
1614,id_4592
13773,id_1296
84,id_3360
14173,id_5020
363,id_3498
251,id_5614
191,id_2674
1634,id_7596
481,id_4006
303,id_6333
1630,id_4105
709,id_0177
265,id_1376
74,id_0303
394,id_0053
1621,id_1580
115,id_1838
53,id_0245
874,id_6927
2957,id_0961
1033,id_7647
