fecha,consumo_gas,consumo_gas_lag_1,consumo_gas_lag_15,consumo_gas_rolling_window_8,consumo_gas_rolling_window_8_std,consumo_gas_rolling_window_15_std,temperatura_rolling_window_3,temperatura_lag_14,temperatura_lag_28,velocidad_viento_rolling_window_3,velocidad_viento_rolling_window_8,velocidad_viento_rolling_window_15,es_festivo,dia_semana,festivo_previo,festivo_siguiente,semana_anyo
2020-01-06,923.82,884.88,729.59,889.3675,75.3753039794854,104.43737993923162,8.55,13.977083333333333,12.545833333333334,7.773611111111109,6.9625,6.917626262626262,1,0,0.0,1.0,2
2020-01-07,1074.86,923.82,772.5,915.2249999999999,98.83035262509087,121.67433715024858,8.664583333333335,11.768181818181818,10.202083333333333,7.430555555555554,7.177604166666667,6.776515151515152,1,1,1.0,1.0,2
2020-01-08,1058.33,1074.86,669.45,946.7662499999999,99.25595123395337,123.35212213512207,8.877083333333333,11.95,9.427083333333334,6.338888888888886,6.920833333333333,6.747222222222223,1,2,1.0,1.0,2
2020-01-09,1052.32,1058.33,610.42,982.05625,74.54090074535145,109.00347625299875,9.204166666666667,12.506818181818181,11.5875,6.3152777777777755,7.008854166666667,6.659166666666667,1,3,1.0,1.0,2
2020-01-10,1053.67,1052.32,748.24,993.515,77.9837653434522,107.36221195205538,9.53888888888889,10.41875,16.974999999999998,6.088888888888886,7.007291666666667,6.651666666666667,1,4,1.0,1.0,2
2020-01-11,960.88,1053.67,827.0,989.0975,78.80526210675306,104.67449198075211,9.05625,9.304166666666665,16.772916666666667,6.529166666666664,6.965624999999999,6.585555555555556,1,5,1.0,0.0,2
2020-01-12,986.74,960.88,799.0,999.4375,71.09745560044256,99.20362448735702,8.154589371980677,10.56875,12.612499999999999,6.5469806763284994,6.718138586956522,6.601340579710145,0,6,1.0,1.0,2
2020-01-13,1123.0,986.74,809.0,1029.2024999999999,65.94431216672588,102.4988895038565,7.471165458937198,10.924999999999999,11.291666666666666,6.556461352657003,6.408673007246377,6.717958937198068,1,0,0.0,1.0,3
2020-01-14,1103.0,1123.0,868.0,1051.6,54.46884010934014,105.08923404149706,7.629710144927536,9.15,14.129166666666668,6.431884057971012,6.462477355072464,6.79915458937198,1,1,1.0,1.0,3
2020-01-15,1074.0,1103.0,806.0,1051.4924999999998,54.41720020885996,96.29672034666488,8.035507246376811,8.2875,13.895833333333334,6.575362318840578,6.397441123188406,6.724190821256039,1,2,1.0,1.0,3
2020-01-16,1025.0,1074.0,770.0,1047.32625,55.09065488226534,73.51853842658274,8.660869565217391,8.143749999999999,12.237499999999999,6.494202898550721,6.466915760869565,6.77846618357488,1,3,1.0,1.0,3
2020-01-17,1002.5,1025.0,962.0,1041.09875,57.22020483248165,72.27712584872445,10.09855072463768,7.339583333333334,15.229166666666666,6.671014492753621,6.595878623188406,6.824746376811594,1,4,1.0,1.0,3
2020-01-18,918.11,1002.5,996.22,1024.15375,71.30437272455731,76.41319537008407,10.8268115942029,8.245833333333334,15.758333333333333,6.714492753623186,6.632042572463768,6.785144927536232,1,5,1.0,1.0,3
2020-01-19,980.3,918.11,904.02,1026.58125,69.14026828277441,71.24285502687917,11.352173913043478,8.700000000000001,17.139583333333334,9.565217391304346,7.605434782608696,7.227065217391305,1,6,1.0,1.0,3
2020-01-20,1173.0,980.3,884.88,1049.86375,83.64650414307144,72.55249900851744,10.453623188405798,8.704166666666667,13.977083333333333,14.39710144927536,9.539673913043478,8.073611111111111,1,0,1.0,1.0,4
2020-01-21,1156.0,1173.0,923.82,1053.98875,88.44451940340747,72.1403356032695,10.472614734299517,8.589583333333334,11.768181818181818,19.961775362318836,11.659035326086956,9.222777777777777,1,1,1.0,1.0,4
2020-01-22,1089.0,1156.0,1074.86,1052.23875,87.46935470494635,72.58712636746056,11.087107487922703,9.3375,11.95,18.976268115942027,12.309578804347826,9.5362077294686,1,2,1.0,1.0,4
2020-01-23,1060.0,1089.0,1058.33,1050.48875,87.1110958058715,72.60145382907434,11.958121980676326,9.685416666666667,12.506818181818181,14.045833333333333,12.34110054347826,9.615000000000002,1,3,1.0,1.0,4
2020-01-24,1041.0,1060.0,1052.32,1052.48875,86.62460973937904,72.64002258364431,11.801177536231883,9.59375,10.41875,8.579166666666664,12.440896739130434,9.675555555555556,1,4,1.0,1.0,4
2020-01-25,929.0,1041.0,1053.67,1043.30125,96.06699751995858,79.01184873772004,11.133272946859902,7.889583333333333,9.304166666666665,6.418961352657003,12.215058876811595,9.602222222222222,1,5,1.0,0.0,4
2020-01-26,907.0,929.0,960.88,1041.9125,98.1921067165192,84.00270894157984,10.889583333333334,6.980434782608696,10.56875,6.1609903381642495,12.13353713768116,9.541364734299517,0,6,1.0,1.0,4
2020-01-27,1024.0,907.0,986.74,1047.375,95.45221317496897,82.92763837627741,11.13402777777778,7.543478260869565,10.924999999999999,5.912379227053138,11.071082427536231,9.548635265700485,1,0,0.0,1.0,5
2020-01-28,973.0,1024.0,1123.0,1022.375,83.26195752820306,81.2738338200524,12.21135265700483,8.365217391304348,9.15,7.221859903381639,9.52434329710145,9.73530193236715,1,1,1.0,1.0,5
2020-01-29,950.0,973.0,1103.0,996.625,66.12312649249554,81.1025228132062,12.150241545893719,8.197826086956523,8.2875,6.674033816425118,7.150634057971015,9.589794685990338,1,2,1.0,1.0,5
2020-01-30,931.0,950.0,1074.0,976.875,57.642835015040106,82.70637372225721,12.813435990338164,9.419565217391305,8.143749999999999,6.192089371980674,6.277015398550724,9.471980676328503,1,3,1.0,1.0,5
2020-01-31,884.06,931.0,1025.0,954.8824999999999,54.8951899402045,88.7387287168668,12.665972222222223,12.678260869565218,7.339583333333334,4.907608695652172,6.097509057971014,9.417983091787441,1,4,1.0,1.0,5
2020-02-01,760.31,884.06,1002.5,919.79625,77.17165244486557,108.35088543378721,13.372946859903381,10.382608695652175,8.245833333333334,4.603787878787877,5.659867012516469,9.176349363197188,1,5,1.0,1.0,5
2020-02-02,755.73,760.31,918.11,898.1375,96.19063018669738,122.68086704166711,14.073641304347825,10.995652173913044,8.700000000000001,4.702398989898987,5.633304512516469,9.069561923583665,1,6,1.0,1.0,5
2020-02-03,853.5,755.73,980.3,891.45,97.33934940637744,126.54036395365623,14.87572463768116,9.982608695652173,8.704166666666667,4.6829545454545425,5.543245635704875,8.441530522617478,1,0,1.0,1.0,6
2020-02-04,885.99,853.5,1173.0,874.19875,81.4196419681023,114.05053124863211,15.296014492753622,10.439583333333333,8.589583333333334,5.511413043478259,5.50950469367589,7.39921168203777,1,1,1.0,1.0,6
2020-02-05,938.0,885.99,1156.0,869.82375,76.12010639912404,98.26342662165078,13.965458937198067,12.839130434782609,9.3375,5.8558574879227026,5.121053606719368,6.248378348704436,1,2,1.0,1.0,6
2020-02-06,965.0,938.0,1089.0,871.69875,78.52393328287857,88.8903961923788,11.925875603864734,12.595652173913043,9.685416666666667,6.248913043478258,5.383825345849803,5.896059508124725,1,3,1.0,1.0,6
2020-02-07,944.67,965.0,1060.0,873.4075,80.13102052263955,80.90050816251008,10.323611111111111,9.96875,9.59375,5.8777777777777755,5.391637845849803,5.765600570926657,1,4,1.0,0.0,6
2020-02-08,863.0,944.67,1041.0,870.7750000000001,80.07698349534631,74.04335687381305,10.267361111111109,10.835416666666667,7.889583333333333,5.220893719806761,5.238535490777339,5.576723759332455,0,5,1.0,1.0,6
2020-02-09,828.0,863.0,929.0,879.23625,69.63240767210313,76.19625182632632,10.71736111111111,11.864583333333334,6.980434782608696,5.663949275362317,5.781385869565217,5.745057092665789,1,6,0.0,1.0,6
2020-02-10,882.0,828.0,907.0,895.02,48.8460201624859,76.24819892954838,12.254166666666665,10.702083333333334,7.543478260869565,6.882004830917872,6.208990036231884,5.909803469477382,1,0,1.0,1.0,7
2020-02-11,901.8,882.0,1024.0,901.0574999999999,45.87558103952453,67.62226846521001,13.361111111111109,14.067391304347826,8.365217391304348,7.268961352657002,6.208288043478261,5.848040184453228,1,1,1.0,1.0,7
2020-02-12,912.0,901.8,973.0,904.3087499999999,45.57588066306547,63.85792527910977,13.839583333333332,11.68125,8.197826086956523,6.650905797101447,6.208695652173913,5.63086627140975,1,2,1.0,1.0,7
2020-02-13,893.0,912.0,950.0,898.6837499999999,43.555857056523024,61.27254144588816,13.275694444444442,12.691666666666668,9.419565217391305,6.375905797101447,6.404008152173914,5.850177865612649,1,3,1.0,1.0,7
